Track Name,Artist Name,Album Name,Disc Number,Track Number
Love Me Harder,"Ariana Grande, The Weeknd",My Everything (Deluxe),1,9
Sledgehammer,Fifth Harmony,Reflection (Deluxe),1,3
Waiting For Love,Avicii,Stories,1,1
I Really Like You,Carly Rae Jepsen,Emotion,1,3
Animals,Maroon 5,V,1,2
Burn,Ellie Goulding,Halcyon Days,1,14
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",Sweet Talker (Deluxe Version),1,4
I Want You To Know,"Zedd, Selena Gomez",True Colors,1,2
Elastic Heart,Sia,1000 Forms Of Fear,1,8
Dark Horse,"Katy Perry, Juicy J",PRISM (Deluxe),1,6
Maps,Maroon 5,V,1,1
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",Motion,1,6
Fancy,"Iggy Azalea, Charli XCX",The New Classic (Deluxe Version),1,5
Rude,MAGIC!,Don't Kill the Magic,1,1
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",New Eyes,1,3
Blame (feat. John Newman),"Calvin Harris, John Newman",Motion,1,3
Black Widow,"Iggy Azalea, Rita Ora",The New Classic,1,10
Boom Clap,Charli XCX,SUCKER,1,6
Time of Our Lives,"Pitbull, Ne-Yo",Globalization,1,4
Come & Get It,Selena Gomez,Stars Dance (Bonus Track Version),1,5
Cool Kids,Echosmith,Talking Dreams (Deluxe Edition),1,3
Summer,Calvin Harris,Motion,1,8
Neon Lights,Demi Lovato,Demi,1,4
Problem,"Ariana Grande, Iggy Azalea",My Everything (Deluxe),1,2
Stay With Me,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),1,3
Timber (feat. Ke$ha),"Pitbull, Kesha",Global Warming: Meltdown (Deluxe Version),1,13
Heartbeat Song,Kelly Clarkson,Piece By Piece (Deluxe Version),1,1
Am I Wrong,Nico & Vinz,Black Star Elephant,1,2
Royals,Lorde,Pure Heroine,1,3
Firework,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,4
"Happy - From ""Despicable Me 2"",""Pharrell Williams",G I R L,1,5,232720
Titanium (feat. Sia),"David Guetta, Sia",Nothing but the Beat,1,13
Wake Me Up,Avicii,True,1,1
Call Me Maybe,Carly Rae Jepsen,Kiss (Deluxe),1,3
Die Young,Kesha,Warrior (Deluxe Version),1,2
Starships,Nicki Minaj,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),2,10
Last Friday Night (T.G.I.F.),Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,2
Love You Like A Love Song,Selena Gomez & The Scene,When The Sun Goes Down,1,1
Pompeii,Bastille,Bad Blood,1,1
Demons,Imagine Dragons,Night Visions (Deluxe),1,4
Moves Like Jagger - Studio Recording From The Voice Performance,"Maroon 5, Christina Aguilera",Hands All Over,1,13
Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),1,1
All of Me,John Legend,Love In The Future (Expanded Edition),1,6
Sing,Ed Sheeran,x (Deluxe Edition),1,3
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,1,2
Best Day Of My Life,American Authors,"Oh, What A Life",1,3
TiK ToK,Kesha,Animal,1,2
California Gurls,"Katy Perry, Snoop Dogg",Katy Perry - Teenage Dream: The Complete Confection,1,3
Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives (International Version),1,2
Payphone,"Maroon 5, Wiz Khalifa",Overexposed,1,2
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),1,2
Radioactive,Imagine Dragons,Night Visions,1,1
Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",The Truth About Love,1,4
Rolling in the Deep,Adele,21,1,1
Let Her Go,Passenger,All The Little Lights,1,2
Poker Face,Lady Gaga,The Fame Monster (Deluxe),1,12
Dynamite,Taio Cruz,Rokstarr,1,1
What Makes You Beautiful,One Direction,Up All Night,1,1
One More Night,Maroon 5,Overexposed (Deluxe),1,1
Part Of Me,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,14
Wild Ones (feat. Sia),"Flo Rida, Sia",Wild Ones,1,2
Give Your Heart a Break,Demi Lovato,Unbroken,1,10
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,1,2
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",The Papercut Chronicles II,1,4
Mirrors,Justin Timberlake,The 20/20 Experience,1,9
"Hey, Soul Sister",Train,"Save Me, San Francisco",1,2
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),1,5
Just Dance,"Lady Gaga, Colby O'Donis",The Fame Monster (Deluxe),1,9
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",Sorry For Party Rocking,1,3
Who Says,Selena Gomez & The Scene,When the Sun Goes Down (Deluxe Edition),1,3
On The Floor - Radio Edit,"Jennifer Lopez, Pitbull",On The Floor,1,1
Wide Awake,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,15
Whistle,Flo Rida,Wild Ones,1,1
We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",Some Nights,1,3
Boyfriend,Justin Bieber,Believe,1,2
Boom Boom Pow,Black Eyed Peas,The Beginning & The Best Of The E.N.D.,2,1
Sexy And I Know It,LMFAO,Sorry For Party Rocking,1,4
The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,1,5
Blow,Kesha,Cannibal,1,4
Hot N Cold,Katy Perry,One Of The Boys,1,7
DJ Got Us Fallin' In Love (feat. Pitbull),"Usher, Pitbull",Raymond v Raymond (Expanded Edition),1,16
Break Your Heart,"Taio Cruz, Ludacris",Rokstarr,1,2
Good Feeling,Flo Rida,Wild Ones,1,4
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Pitbull, Ne-Yo, Afrojack, Nayer",Planet Pit (Deluxe Version),1,2
Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,1,3
Without You (feat. Usher),"David Guetta, Usher",Nothing but the Beat,1,5
I Kissed A Girl,Katy Perry,One Of The Boys,1,2
Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",Lazarus,1,3
You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",Night Shades,1,2
Club Can't Handle Me (feat. David Guetta),"Flo Rida, David Guetta",Only One Flo (Part 1),1,7
Whatcha Say,Jason Derulo,Jason Derulo (Deluxe Audio),1,1
Like A G6,"Far East Movement, The Cataracs, DEV",Free Wired,1,2
OMG,"Usher, will.i.am",Raymond v Raymond,1,6
Just Can’t Get Enough,Black Eyed Peas,The Beginning,1,11
Imma Be,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [International Version],1,4
Crank That (Soulja Boy),Soulja Boy,souljaboytellem.com,1,2
Tonight (I'm Fuckin' You),"Enrique Iglesias, Ludacris, DJ Frank E",Tonight (I'm Fuckin' You),1,1
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",FutureSex/LoveSounds,1,2
Meet Me Halfway,Black Eyed Peas,The Beginning & The Best Of The E.N.D.,2,3
Forever,Chris Brown,Exclusive,1,17
Yeah! (feat. Lil Jon & Ludacris),"Usher, Lil Jon, Ludacris",Confessions (Expanded Edition),1,2
Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",Nothing but the Beat,1,3
My Humps,Black Eyed Peas,Monkey Business,1,5
Hotel Room Service,Pitbull,Pitbull Starring In Rebelution,1,8
Somebody To Love,Justin Bieber,My Worlds (International Version),1,10
Pump It,Black Eyed Peas,Monkey Business,1,1
Kiss Kiss (feat. T-Pain),"Chris Brown, T-Pain",Exclusive,1,2
Scream,Usher,Looking 4 Myself (Deluxe Version),1,2
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,R.E.D. (Deluxe Edition),1,3
One Time,Justin Bieber,My World,1,1
Rock That Body,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),1,2
I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,1,3
As Long As You Love Me,"Justin Bieber, Big Sean",Believe (Deluxe Edition),1,3
More - RedOne Jimmy Joker Remix,Usher,More,1,1
Round & Round,Selena Gomez & The Scene,A Year Without Rain,1,1
Let's Go (feat. Ne-Yo),"Calvin Harris, Ne-Yo",18 Months,1,13
Lights - Single Version,Ellie Goulding,Bright Lights,1,11
One Less Lonely Girl,Justin Bieber,My World,1,5
A Year Without Rain,Selena Gomez & The Scene,A Year Without Rain,1,2
Love Me,Justin Bieber,My World,1,7
Live While We're Young,One Direction,Take Me Home: Yearbook Edition,1,1
Tell Me Something I Don't Know,Selena Gomez & The Scene,Kiss & Tell,1,13
Never Say Never,"Justin Bieber, Jaden",Never Say Never - The Remixes,1,1
U Smile,Justin Bieber,My World 2.0,1,4
Falling Down,Selena Gomez & The Scene,Kiss & Tell,1,3
Kiss You,One Direction,Take Me Home: Yearbook Edition,1,2
That Should Be Me,Justin Bieber,My World 2.0,1,10
Best Song Ever,One Direction,Midnight Memories (Deluxe),1,1
Stuck In The Moment,Justin Bieber,My World 2.0,1,3
Kissin U,Miranda Cosgrove,Sparks Fly,1,1
Be Alright,Justin Bieber,Believe (Deluxe Edition),1,12
Big Time Rush,Big Time Rush,BTR,1,11
Up All Night,One Direction,Up All Night,1,5
Favorite Girl,Justin Bieber,My World,1,2
About You Now,Miranda Cosgrove,iCarly - Music From and Inspired by the Hit TV Show,1,6
Rock Me,One Direction,Take Me Home: Yearbook Edition,1,7
Gotta Be You,One Direction,Up All Night,1,2
She Don't Like The Lights,Justin Bieber,Believe (Deluxe Edition),1,15
Halfway There,Big Time Rush,BTR,1,6
She Will Be Loved,Maroon 5,Songs About Jane,1,4
She Looks So Perfect,5 Seconds of Summer,5 Seconds Of Summer,1,1
I Want,One Direction,Up All Night,1,9
Down To Earth,Justin Bieber,My World,1,3
I Would,One Direction,Take Me Home: Yearbook Edition,1,9
This Love,Maroon 5,Songs About Jane,1,2
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,1,6
The Way,"Ariana Grande, Mac Miller",Yours Truly,1,8
Something Big,Shawn Mendes,Handwritten (Revisited),1,6
Misery,Maroon 5,Hands All Over (Deluxe),1,1
My Dilemma,Selena Gomez & The Scene,When The Sun Goes Down,1,8
Baby I,Ariana Grande,Yours Truly,1,2
Life Of The Party,Shawn Mendes,Handwritten (Revisited),1,1
Marry You,Bruno Mars,Doo-Wops & Hooligans,1,6
Sunday Morning,Maroon 5,Songs About Jane,1,8
Bang Bang Bang,Selena Gomez & The Scene,When the Sun Goes Down (Deluxe Edition),1,2
Be My Baby,"Ariana Grande, Cashmere Cat",My Everything (Deluxe),1,7
Count on Me,Bruno Mars,Doo-Wops & Hooligans,1,9
Better Left Unsaid,Ariana Grande,Yours Truly,1,12
Young Girls,Bruno Mars,Unorthodox Jukebox,1,1
Better in Stereo - Theme Song Version,Dove Cameron,Liv and Maddie (Music from the TV Series),1,1
The A Team,Ed Sheeran,+,1,1
A Thousand Years,Christina Perri,A Thousand Years,1,1
Maps - Remix,"Maroon 5, Big Sean",V (Deluxe),1,16
Shoot Love,Maroon 5,V (Deluxe),1,13
This Summer,Maroon 5,V (Deluxe),1,12
My Heart Is Open,"Maroon 5, Gwen Stefani",V (Deluxe),1,11
Coming Back For You,Maroon 5,V (Deluxe),1,9
Feelings,Maroon 5,V (Deluxe),1,10
New Love,Maroon 5,V (Deluxe),1,8
Sugar,Maroon 5,V (Deluxe),1,5
Maps,Maroon 5,V (Deluxe),1,1
Animals,Maroon 5,V (Deluxe),1,2
In Your Pocket,Maroon 5,V (Deluxe),1,7
A Sky Full of Stars,Coldplay,Ghost Stories,1,8
Don't,Ed Sheeran,x (Deluxe Edition),1,4
It's Time,Imagine Dragons,Night Visions,1,3
Dangerous (feat. Sam Martin),"David Guetta, Sam Martin",Listen (Deluxe),1,1
I'm Not The Only One,Sam Smith,In The Lonely Hour,1,5
Secrets,OneRepublic,Waking Up,1,3
Take Me to Church,Hozier,Hozier,1,1
The Nights,Avicii,The Days / Nights,1,2
Hall of Fame (feat. will.i.am),"The Script, will.i.am",#3,1,3
It Was Always You,Maroon 5,V,1,3
Firestone,"Kygo, Conrad Sewell",Cloud Nine,1,5
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,1,7
No Way No,MAGIC!,Don't Kill the Magic,1,5
On Top Of The World,Imagine Dragons,Night Visions (Deluxe),1,5
Love Runs Out,OneRepublic,Native,1,2
Centuries,Fall Out Boy,American Beauty/American Psycho,1,3
Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",Prayer,1,1
Hey Brother,Avicii,True,1,3
Superheroes,The Script,No Sound Without Silence,1,2
Ignite - 2016 League Of Legends World Championship,Zedd,Ignite (2016 League Of Legends World Championship),1,1
Warriors,Imagine Dragons,Warriors,1,1
Be Like You,CVBZ,Be Like You,1,1
On & On,"Cartoon, Daniel Levi",On & On,1,1
Why We Lose,"Cartoon, Coleman Trapp",Why We Lose,1,1
