Track Name,Artist Name,Album Name,Disc Number,Track Number
Never Forget You,"Zara Larsson, MNEK",Never Forget You,1,1
Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",Global Warming: Meltdown (Deluxe Version),1,3
Made In The USA,Demi Lovato,Demi,1,2
Teenage Dream,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,1
Naturally,Selena Gomez & The Scene,Kiss & Tell,1,6
Beauty And A Beat,"Justin Bieber, Nicki Minaj",Believe (Deluxe Edition),1,10
Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend",Title (Deluxe),1,6
Bad Romance,Lady Gaga,The Fame Monster,1,1
History,One Direction,Made In The A.M. (Deluxe Edition),1,13
Lucky Strike,Maroon 5,Overexposed,1,4
Grenade,Bruno Mars,Doo-Wops & Hooligans,1,1
Where Have You Been,Rihanna,Talk That Talk,1,2
Scream & Shout,"will.i.am, Britney Spears",#willpower (Deluxe),1,4
Some Nights,fun.,Some Nights,1,2
Drive By,Train,California 37,1,2
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",The Heist,1,3
Price Tag,"Jessie J, B.o.B",Who You Are (Platinum Edition),1,1
Fireflies,Owl City,Ocean Eyes,1,9
Unconditionally,Katy Perry,PRISM (Deluxe),1,5
The Other Side,Jason Derulo,Talk Dirty,1,8
Hit The Lights,Selena Gomez & The Scene,When The Sun Goes Down,1,5
La La Land,Demi Lovato,Don't Forget,1,1
All Around The World,"Justin Bieber, Ludacris",Believe (Deluxe Edition),1,1
Only Girl (In The World),Rihanna,Loud,1,5
Wake Up Call,Maroon 5,It Won't Be Soon Before Long.,1,4
Telephone,"Lady Gaga, Beyoncé",The Fame Monster,1,6
Domino,Jessie J,Who You Are (Platinum Edition),1,14
Ready or Not,Bridgit Mendler,Hello My Name Is...,1,1
The One That Got Away,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,7
Girlfriend,Avril Lavigne,The Best Damn Thing,1,1
Want U Back,Cher Lloyd,Sticks & Stones,1,1
Toxic,Britney Spears,Greatest Hits: My Prerogative,1,2
Here We Go Again,Demi Lovato,Here We Go Again,1,1
I Cry,Flo Rida,Wild Ones,1,8
S&M,Rihanna,Loud,1,1
Gangnam Style (강남스타일),PSY,Gangnam Style (강남스타일),1,1
Airplanes (feat. Hayley Williams),"B.o.B, Hayley Williams",B.o.B Presents: The Adventures of Bobby Ray,1,4
#thatPOWER,"will.i.am, Justin Bieber",#willpower (Deluxe),1,9
Girl On Fire,Alicia Keys,Girl On Fire,1,1
Raise Your Glass,P!nk,Raise Your Glass,1,1
Born This Way,Lady Gaga,Born This Way (International Standard Version),1,2
Ho Hey,The Lumineers,The Lumineers,1,5
Makes Me Wonder,Maroon 5,It Won't Be Soon Before Long.,1,2
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,1,3
Hurricane,Bridgit Mendler,Hello My Name Is...,1,4
We R Who We R,Kesha,Cannibal,1,2
Crazy In Love,"Beyoncé, JAY-Z",Dangerously In Love,1,1
E.T.,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,8
Set Fire to the Rain,Adele,21,1,5
Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida",Right Place Right Time (Deluxe),1,3
She Wolf (Falling to Pieces) [feat. Sia],"David Guetta, Sia",Nothing but the Beat 2.0,1,3
The Fox (What Does the Fox Say?),Ylvis,The Fox (What Does the Fox Say?),1,1
Turn Up the Music,Chris Brown,Fortune (Deluxe Version),1,1
This Is Love,"will.i.am, Eva Simons",#willpower (Deluxe),1,3
Love The Way You Lie,"Eminem, Rihanna",Recovery,1,15
Sorry For Party Rocking,LMFAO,Sorry For Party Rocking,1,2
Gentleman,PSY,Gentleman,1,1
Chasing The Sun,The Wanted,The Wanted (Special Edition),1,2
Try,P!nk,The Truth About Love,1,3
Hangover,"Taio Cruz, Flo Rida",TY.O (International Version),1,1
Someone Like You,Adele,21,1,11
Peacock,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,5
Umbrella,"Rihanna, JAY-Z",Good Girl Gone Bad: Reloaded,1,1
...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),1,1
What the Hell,Avril Lavigne,Goodbye Lullaby,1,2
Middle Of Nowhere,Selena Gomez & The Scene,When The Sun Goes Down,1,11
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj",Nothing but the Beat,1,1
Don't Wake Me Up,Chris Brown,Fortune (Deluxe Version),1,13
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Save Rock And Roll,1,2
Love Never Felt So Good,"Michael Jackson, Justin Timberlake",XSCAPE,1,17
Tickets,Maroon 5,Overexposed (Deluxe),1,10
Rumour Has It,Adele,21,1,2
We'll Be Coming Back (feat. Example),"Calvin Harris, Example",18 Months,1,5
If I Lose Myself,OneRepublic,Native,1,3
Get Lucky (feat. Pharrell Williams & Nile Rodgers),"Daft Punk, Pharrell Williams, Nile Rodgers",Random Access Memories,1,8
Spectrum,"Zedd, Matthew Koma",Clarity,1,3
Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,1,1
We Own The Night,The Wanted,Word Of Mouth,1,1
Halo,Beyoncé,I AM...SASHA FIERCE,1,2
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,1,2
The Man Who Never Lied,Maroon 5,Overexposed (Deluxe),1,5
Apologize,OneRepublic,Dreaming Out Loud,1,4
Crazy Kids,Kesha,Warrior (Deluxe Version),1,5
For A Better Day,Avicii,Stories,1,5
When The Sun Goes Down,Selena Gomez & The Scene,When The Sun Goes Down,1,7
Till the World Ends,Britney Spears,Femme Fatale (Deluxe Version),1,1
Lose Yourself to Dance (feat. Pharrell Williams),"Daft Punk, Pharrell Williams",Random Access Memories,1,6
Pray to God (feat. HAIM),"Calvin Harris, HAIM",Motion,1,11
Real Love,"Clean Bandit, Jess Glynne",New Eyes,1,1
Fortune Teller,Maroon 5,Overexposed (Deluxe),1,8
Rude - Zedd Remix,"MAGIC!, Zedd",Rude (Zedd Remix),1,1
I Lived,OneRepublic,Native,1,6
Cool,"Alesso, Roy English",Forever,1,5
Outlaw,Selena Gomez & The Scene,When The Sun Goes Down,1,10
Shots,Imagine Dragons,Smoke + Mirrors,1,1
The Scientist,Coldplay,A Rush of Blood to the Head,1,4
Write Your Name,Selena Gomez,Stars Dance (Bonus Track Version),1,9
Immortals,Fall Out Boy,American Beauty/American Psycho,1,10
Ladykiller,Maroon 5,Overexposed (Deluxe),1,7
Renegades,X Ambassadors,VHS,1,2
Good Life,OneRepublic,Waking Up,1,6
Whiplash,Selena Gomez & The Scene,When the Sun Goes Down (Deluxe Edition),1,6
Bleeding Out,Imagine Dragons,Night Visions,1,9
Secrets - Radio Edit,"Tiësto, KSHMR, VASSY",Secrets (Radio Edit),1,1
Another You,"Armin van Buuren, Mr. Probz",Embrace,1,2
Sun Is Shining,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",Sun Is Shining,1,1
Doin’ Dirt,Maroon 5,Overexposed (Deluxe),1,11
What I Did for Love (feat. Emeli Sandé),David Guetta,Listen (Deluxe),1,2
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",Random Access Memories,1,5
I Wanna Go,Britney Spears,Femme Fatale (Deluxe Version),1,4
If I Lose Myself - Alesso vs OneRepublic,"OneRepublic, Alesso",Native,1,15
That's More Like It,Selena Gomez & The Scene,When The Sun Goes Down,1,9
Peanut Butter Jelly,Galantis,Pharmacy,1,9
SummerThing!,"Afrojack, Mike Taylor",SummerThing!,1,1
Stars Dance,Selena Gomez,Stars Dance (Bonus Track Version),1,3
Uma Thurman,Fall Out Boy,American Beauty/American Psycho,1,5
Gold,Imagine Dragons,Smoke + Mirrors,1,2
Beautiful Goodbye,Maroon 5,Overexposed Track By Track,1,24
We Own The Night - Featuring Pixie Lott,"Selena Gomez & The Scene, Pixie Lott",When The Sun Goes Down,1,4
Wherever I Go,OneRepublic,Wherever I Go,1,1
Something New,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",Something New,1,1
Sweet Escape,"Alesso, Sirena",Forever,1,7
Forbidden Voices,Martin Garrix,Forbidden Voices,1,1
I Love It When You Cry (Moxoki) - Radio Edit,"Steve Aoki, Moxie",Neon Future II,1,2
Call Me A Spaceman - Radio Edit,"Hardwell, Mitch Crown",Call Me A Spaceman,1,1
Sun Goes Down (feat. MAGIC! & Sonny Wilson),"David Guetta, Showtek, MAGIC!, Sonny Wilson",Listen,1,11
Sad,Maroon 5,Overexposed (Deluxe),1,9
Do Or Die - Afrojack vs. THIRTY SECONDS TO MARS Remix,"Afrojack, Thirty Seconds To Mars",Forget The World (Deluxe),1,15
Save The World,Swedish House Mafia,Save The World,1,1
Next to Me,Otto Knows,Next To Me,1,1
Undercover,Selena Gomez,Stars Dance (Bonus Track Version),1,10
My Dilemma 2.0,Selena Gomez & The Scene,For You,1,6
I’m So Sorry,Imagine Dragons,Smoke + Mirrors,1,4
Irresistible,Fall Out Boy,American Beauty/American Psycho,1,1
Don't Forget,Demi Lovato,Don't Forget,1,6
Wipe Your Eyes,Maroon 5,Overexposed (Deluxe),1,13
All The Right Moves,OneRepublic,Waking Up,1,2
Close,"Nick Jonas, Tove Lo",Last Year Was Complicated,1,3
Reload - Radio Edit,"Sebastian Ingrosso, Tommy Trash, John Martin",Reload (Vocal Version / Radio Edit),1,1
Popular Song,"MIKA, Ariana Grande",Yours Truly,1,11
Years,"Alesso, Matthew Koma",Years,1,1
The Only Way Is Up,"Martin Garrix, Tiësto","Club Life, Vol. 4 - New York City",1,4
Apollo - Radio Edit,"Hardwell, Amba Shepherd",I Am Hardwell (Original Soundtrack),1,7
Alive,Krewella,Get Wet,1,7
Until You Were Gone (feat. Emily Warren),"The Chainsmokers, Tritonal, Emily Warren",Until You Were Gone (feat. Emily Warren),1,1
Save The Day,Selena Gomez,Stars Dance (Bonus Track Version),1,7
Find You,"Zedd, Matthew Koma, Miriam Bryant",Find You,1,1
Follow Me,"Jason Derullo, Hardwell",United We Are,1,2
Legacy - Radio Edit,"Nicky Romero, Krewella",Legacy,1,1
Take Me Home (feat. Bebe Rexha),"Cash Cash, Bebe Rexha","Blood, Sweat & 3 Years",1,14
Last Chance,"Kaskade, Project 46",Atmosphere,1,1
Silhouettes - Original Radio Edit,Avicii,Silhouettes,1,1
Million Voices,Otto Knows,Million Voices,1,1
City Of Dreams - Radio Edit,"Dirty South, Alesso, Ruben Haze",City Of Dreams,1,1
On My Way,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",On My Way,1,1
Dare You (feat. Matthew Koma) - Radio Edit,"Hardwell, Matthew Koma",Dare You (Radio Edit) (feat. Matthew Koma),1,1
Tsunami - Original Mix,"DVBBS, Borgeous",Tsunami (Original Mix),1,1
How You Love Me,"3LAU, Bright Lights",How You Love Me,1,1
Now That I've Found You (feat. John & Michel),"Martin Garrix, John & Michel",Now That I've Found You (feat. John & Michel),1,1
Payback,"Dimitri Vangelis & Wyman, Steve Angello",Payback,1,1
Surrender,Cash Cash,"Blood, Sweat & 3 Years",1,16
Strangers,"Seven Lions, Myon, Shane 54, Tove Lo",Worlds Apart,1,4
Something Better,"Audien, Lady A",Daydreams,1,1
Lost At Sea,"Zedd, Ryan Tedder",Clarity,1,4
Let You Go - Radio Edit,"The Chainsmokers, Great Good Fine Ok",Let You Go (Radio Edit),1,1
Here Tonight,"Dash Berlin, Jay Cosmic, Collin McLoughlin",We Are (Part 1),1,1
Anchor,Tritonal,Metamorphic III,1,1
Fade Into Darkness - Vocal Radio Mix,Avicii,Fade Into Darkness,1,1
Break Through The Silence - Radio Edit,"Martin Garrix, Matisse & Sadko",Break Through The Silence EP,1,1
If It Wasn't For You,Alesso,Forever,1,9
Pompeii - Audien Remix,"Bastille, Audien",Pompeii (Audien Remix),1,1
Never Say Goodbye - Radio Edit,"Hardwell, Dyro, Bright Lights",I Am Hardwell (Original Soundtrack),1,5
Let Me Feel - Radio Edit,"Nicky Romero, Vicetone, When We Are Wild",Nicky Romero presents Miami 2015,1,1
Illuminate,"Afrojack, Matthew Koma",Forget The World,1,2
Thinking About You (feat. Ayah Marar),"Calvin Harris, Ayah Marar",18 Months,1,15
Untouchable,"Tritonal, Cash Cash",Untouchable,1,1
Virus (How About Now),"Martin Garrix, MOTi",Virus (How About Now),1,1
Boneless,"Steve Aoki, Chris Lake, Tujamo",Boneless (Remixes),1,1
Leaving You,"Audien, Michael S.",Leaving You,1,3
Inside Out (feat. Charlee),"The Chainsmokers, Charlee",Inside Out (feat. Charlee),1,1
Don’t Leave,"Seven Lions, Ellie Goulding",Worlds Apart,1,1
Follow You Down,"Zedd, Bright Lights",Clarity,1,9
Aftershock (feat. Jacquie),"Cash Cash, Jacquie","Blood, Sweat & 3 Years",1,6
Now Or Never - Radio Edit,"Tritonal, Phoebe Ryan",The Enhanced Collection 2013 - Part 4,1,1
Firebird,Galantis,Pharmacy,1,10
Keep Our Love Alive,"Afrojack, Matthew Koma",Forget The World (Deluxe),1,12
Mad World - Radio Edit,"Hardwell, Jake Reese",Mad World,1,2
Find Tomorrow (Ocarina) (feat. Wolfpack & Katy B) - Radio Edit,"Dimitri Vegas & Like Mike, Wolfpack, Katy B",Find Tomorrow (Ocarina),1,1
Warriors - Sensation 15 Edit,"Nicky Romero, Volt & State",Protocol presents: ADE 2015 by Volt & State,1,9
Just One Last Time (feat. Taped Rai),"David Guetta, Taped Rai",Nothing but the Beat 2.0,1,8
Our Story - Radio Edit,Mako,Our Story (Radio Edit),1,1
Lightning (feat. John Rzeznik),"Cash Cash, John Rzeznik","Blood, Sweat & 3 Years",1,10
Scars,"Alesso, Ryan Tedder",Forever,1,6
Colors,"Tritonal, Paris Blohm, Sterling Fox",Colors,1,1
Set Yourself Free,"Tiësto, Krewella",A Town Called Paradise,1,14
A Sky Full of Stars - Hardwell Remix,"Coldplay, Hardwell",A Sky Full of Stars (Hardwell Remix),1,1
You,Galantis,Galantis EP,1,2
New York City,The Chainsmokers,New York City,1,1
Done With Love,Zedd,True Colors,1,5
How to Love (feat. Sofia Reyes),"Cash Cash, Sofia Reyes","Blood, Sweat & 3 Years",1,1
Colors - Audien Remix,"Halsey, Audien",Complementary Colors,1,2
Zero Gravity - Radio Edit,"Borgeous, Lights",Zero Gravity,1,1
In My Head,Galantis,Pharmacy,1,3
Footprints,"Tiësto, Cruickshank",A Town Called Paradise (Deluxe),1,2
Kanye,"The Chainsmokers, sirenXX",Kanye,1,1
Forget Forever,Selena Gomez,Stars Dance (Bonus Track Version),1,6
Addicted To A Memory,"Zedd, Bahari",True Colors,1,1
Gold Dust,Galantis,Pharmacy,1,2
Like A Champion,Selena Gomez,Stars Dance (Bonus Track Version),1,4
A Town Called Paradise,"Tiësto, Zac Barnett",A Town Called Paradise (Deluxe),1,4
Take Ü There (feat. Kiesza),"Jack Ü, Skrillex, Diplo, Kiesza",Skrillex and Diplo present Jack Ü,1,3
Waterbed (feat. Waterbed),"The Chainsmokers, Waterbed",Waterbed (feat. Waterbed),1,1
Straight Into The Fire,Zedd,True Colors,1,7
In the Name of Love,"Martin Garrix, Bebe Rexha",In the Name of Love,1,1
Ghost Of You,Selena Gomez & The Scene,A Year Without Rain,1,8
Forever Tonight,Galantis,Pharmacy,1,1
Chemicals,"Tiësto, Don Diablo, Thomas Troelsen",Chemicals,1,1
To Ü (feat. AlunaGeorge),"Jack Ü, Skrillex, Diplo, AlunaGeorge",Skrillex and Diplo present Jack Ü,1,5
Dreaming - The Chainsmokers Remix,"Smallpools, The Chainsmokers",Dreaming Remix EP,1,1
B.E.A.T.,Selena Gomez,Stars Dance (Bonus Track Version),1,8
Illusion,"Zedd, Echosmith",True Colors,1,11
"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch)","Cash Cash, Busta Rhymes, B.o.B, Neon Hitch","Blood, Sweat & 3 Years",1,5
Poison,Martin Garrix,Poison,1,1
Off The Chain,Selena Gomez & The Scene,A Year Without Rain,1,4
"Louder, Harder, Better",Galantis,Pharmacy,1,6
Take Me - Radio Edit,"Tiësto, Kyler England",A Town Called Paradise,1,18
Nobody Does It Like You - Bonus Track,Selena Gomez,Stars Dance (Bonus Track Version),1,12
Fall Into The Sky,"Zedd, Lucky Date, Ellie Goulding",Clarity,1,8
Lions in the Wild,"Martin Garrix, Third Party",Lions in the Wild,1,1
Rock God,Selena Gomez & The Scene,A Year Without Rain (International Standard Version),1,4
Wasted Years,Maroon 5,Overexposed (Deluxe),1,14
Broken Arrows,Avicii,Stories,1,6
Call If You Need Me,Galantis,Pharmacy,1,8
Faith,Calvin Harris,Motion,1,1
Good Intentions (feat. BullySongs),"The Chainsmokers, BullySongs",Good Intentions (feat. BullySongs),1,1
I Wanna Know,"Alesso, Nico & Vinz",I Wanna Know,1,1
Love Will Remember,Selena Gomez,Stars Dance,1,11
Transmission,"Zedd, Logic, X Ambassadors",True Colors,1,4
Here for You (feat. Ella Henderson),"Kygo, Ella Henderson",Here for You (feat. Ella Henderson),1,1
Summer's Not Hot,Selena Gomez & The Scene,A Year Without Rain,1,5
Light Years Away,"Tiësto, DBX",A Town Called Paradise (Deluxe),1,3
You - Tiësto vs. Twoloud Radio Edit,"Galantis, Tiesto, Twoloud",You (Tiësto vs. Twoloud Radio Edit),1,1
Drinking from the Bottle (feat. Tinie Tempah),"Calvin Harris, Tinie Tempah",18 Months,1,9
Starkillers & Alex Kenji - Pressure - Alesso Remix,Nadia Ali,Marco V pres. The Art Of Volume 2,1,4
Music Feels Better - Bonus Track,Selena Gomez,Stars Dance,1,13
Push Play,"Zedd, Miriam Bryant",Clarity (Deluxe),1,12
Intuition – featuring Eric Bellinger,"Selena Gomez & The Scene, Eric Bellinger",A Year Without Rain,1,6
Raging (feat. Kodaline),"Kygo, Kodaline",Cloud Nine,1,4
This Summer - Maroon 5 vs. Alesso,"Maroon 5, Alesso",This Summer (Maroon 5 vs. Alesso),1,1
Taste The Feeling (Avicii Vs. Conrad Sewell),"Avicii, Conrad Sewell",Taste The Feeling (Avicii Vs. Conrad Sewell),1,1
Together (feat. Gwen Stefani),"Gwen Stefani, Calvin Harris",Motion,1,13
Powerful,"Major Lazer, Ellie Goulding, Tarrus Riley",Powerful (Remixes),1,1
Mind (feat. Kai),"Jack Ü, Skrillex, Diplo, kai",Skrillex and Diplo present Jack Ü,1,7
Me & The Rhythm,Selena Gomez,Revival (Deluxe),1,8
Papercut,"Zedd, Troye Sivan",True Colors,1,8
Bang My Head (feat. Sia),David Guetta,Listen,1,8
Spotlight,Selena Gomez & The Scene,A Year Without Rain,1,7
Helicopter - Video Edit,"Martin Garrix, Firebeatz",Helicopter,1,1
Open Wide (feat. Big Sean),"Calvin Harris, Big Sean",Motion,1,12
Spaceman,Hardwell,Hardwell Presents Revealed Volume 3,1,2
Habits (Stay High) - The Chainsmokers Extended Mix,"Tove Lo, The Chainsmokers",Habits (Stay High) [The Chainsmokers Extended Mix],1,1
Stop & Erase,Selena Gomez & The Scene,Kiss & Tell,1,11
Last Train,"Tiësto, Firebeatz, Ladyhawke",A Town Called Paradise (Deluxe),1,7
Daisy,Zedd,True Colors,1,10
Me & My Girls,Selena Gomez,Revival (Deluxe),1,12
Dollar Signs (feat. Tinashe),"Calvin Harris, Tinashe",Motion,1,15
Levels,Nick Jonas,Nick Jonas X2,1,15
Febreze (feat. 2 Chainz),"Jack Ü, Skrillex, Diplo, 2 Chainz",Skrillex and Diplo present Jack Ü,1,4
Sick Of You,Selena Gomez & The Scene,A Year Without Rain,1,9
Magnets,"Disclosure, Lorde",Caracal (Deluxe),1,6
Side To Side,"Ariana Grande, Nicki Minaj",Dangerous Woman,1,5
C.U.B.A,Calvin Harris,C.U.B.A,1,1
I Won't Apologize,Selena Gomez & The Scene,Kiss & Tell,1,2
Live Like There's No Tomorrow,Selena Gomez & The Scene,A Year Without Rain,1,10
Sober,Selena Gomez,Revival (Deluxe),1,5
Get Back,Demi Lovato,Don't Forget,1,2
Beats Knockin (feat. Fly Boi Keno),"Jack Ü, Skrillex, Diplo, Fly Boi Keno",Skrillex and Diplo present Jack Ü,1,2
"Introducing Me - From ""Camp Rock 2: The Final Jam"",""Nick Jonas",Camp Rock 2: The Final Jam,1,8,186893
Let’s Stay Together,Maroon 5,Overexposed (Deluxe),1,15
Kiss & Tell,Selena Gomez & The Scene,Kiss & Tell,1,1
Do It,Selena Gomez,For You,1,15
Remember December,Demi Lovato,Here We Go Again,1,11
I Don't Miss You At All,Selena Gomez & The Scene,Kiss & Tell,1,10
Revival,Selena Gomez,Revival (Deluxe),1,1
This Is Me,"Demi Lovato, Joe Jonas",Camp Rock,1,6
Miss Movin' On,Fifth Harmony,Miss Movin' On,1,1
Dices (Who Says - Spanish Version),Selena Gomez & The Scene,When the Sun Goes Down (Deluxe Edition),1,12
"One and the Same - From ""Princess Protection Program"",""Selena Gomez, Demi Lovato",Disney Channel Playlist,1,1,180960
Everything Is Not As It Seems - Series Theme Song,Selena Gomez,Wizards of Waverly Place,1,12
Crush,Selena Gomez & The Scene,Kiss & Tell,1,5
"Wouldn't Change a Thing - From ""Camp Rock 2: The Final Jam"",""Demi Lovato, Joe Jonas",Camp Rock 2: The Final Jam,1,5,203840
Leave It All To Me (Theme from iCarly),"Miranda Cosgrove, Drake Bell",Leave It All To Me (Theme from iCarly),1,1
Body Heat,Selena Gomez,Revival (Deluxe),1,10
Irreplaceable,Beyoncé,B'Day Deluxe Edition,1,2
As A Blonde,Selena Gomez & The Scene,Kiss & Tell,1,9
Catch Me,Demi Lovato,Here We Go Again,1,6
Break Your Heart Right Back,"Ariana Grande, Childish Gambino",My Everything (Deluxe),1,8
I Look So Good (Without You),Jessie James Decker,Jessie James,1,3
"Shake It Up - From ""Shake It Up"",""Selena Gomez","Shake It Up (From ""Shake It Up"")",1,1,180826
So Far So Great - Theme Song to Sonny with a Chance,Demi Lovato,Here We Go Again,1,14
New Classic (single version),Selena Gomez,Another Cinderella Story,1,2
"Who Will I Be - From ""Camp Rock""/Soundtrack Version",Demi Lovato,Camp Rock,1,5
Best Thing I Never Had,Beyoncé,4,1,12
Fighter,Christina Aguilera,Stripped,1,4
Take A Bow,Rihanna,Good Girl Gone Bad,1,15
Survivors,Selena Gomez,Revival (Deluxe),1,9
Stronger,Britney Spears,Oops!... I Did It Again,1,2
Ur So Gay,Katy Perry,Ur So Gay,1,1
"Brand New Day - From ""Camp Rock 2: The Final Jam"",""Demi Lovato",Camp Rock 2: The Final Jam,1,1,201133
I Promise You,Selena Gomez & The Scene,Kiss & Tell,1,4
Dancing Crazy,Miranda Cosgrove,iSoundtrack II - Music From and Inspired by the Hit TV Show,1,1
U + Ur Hand,P!nk,I'm Not Dead,1,9
If I Were a Boy,Beyoncé,I AM...SASHA FIERCE,1,1
Bit Rush: Arcade Ahri,League of Legends,Bit Rush: Arcade Ahri,1,1
Ethereal (Nosaj Thing vs. Pretty Lights),"League of Legends, Nosaj Thing, Pretty Lights",DJ Sona,1,3
Kinetic (The Crystal Method vs. Dada Life),"League of Legends, The Crystal Method, Dada Life",DJ Sona,1,1
Concussive (Bassnectar vs. Renholdër),"League of Legends, Bassnectar, Renholder",DJ Sona,1,2
Worlds Collide (feat. Nicki Taylor),"League of Legends, Nicki Taylor",Worlds Collide (feat. Nicki Taylor),1,1
The Boy Who Shattered Time (feat. Mitis),"League of Legends, MitiS",Warsongs,1,9
Lucidity (feat. Dan Negovan),"League of Legends, Dan Negovan",Warsongs,1,10
Project: Yi (feat. Vicetone),"League of Legends, Vicetone",Warsongs,1,4
The Glory (feat. James Egbert),"League of Legends, James Egbert",Warsongs,1,8
Flash Funk (feat. Marshmello),"League of Legends, Marshmello",Warsongs,1,5
Edge of Infinity (feat. Minnesota),"League of Legends, Minnesota",Warsongs,1,2
Welcome to Planet Urf (feat. Jauz),"League of Legends, Jauz",Warsongs,1,3
Let the Games Begin (feat. Hyper Potions),"League of Legends, Hyper Potions",Warsongs,1,6
Worlds Collide (feat. Arty),"League of Legends, ARTY",Warsongs,1,7
Piercing Light (feat. Mako),"League of Legends, Mako",Warsongs,1,1
What I've Done,Linkin Park,Minutes to Midnight,1,6
Numb,Linkin Park,Meteora,1,13
In the End,Linkin Park,Hybrid Theory (Bonus Edition),1,8
Brain Power - Re-mastered,Noma,Brain Power,1,1
Bring Me To Life,Evanescence,Fallen,1,2
All of Me (Tiësto Remix),Daghobertias,Bringing Back Sun,1,9
Where Are Ü Now LIVE (with Justin Bieber),"Skrillex, Diplo, Jack Ü, Justin Bieber",Where Are Ü Now Live (with Justin Bieber),1,1
I'd Love To Change The World - Matstubs Remix,"Jetta, Matstubs",I'd Love To Change The World (Matstubs Remix),1,1
Don't Wanna Know,"Maroon 5, Kendrick Lamar",Don't Wanna Know,1,1
False Alarm,The Weeknd,False Alarm,1,1
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,1,7
The Hills,The Weeknd,Beauty Behind The Madness,1,5
See You Again,Miley Cyrus,Hannah Montana 2 / Meet Miley Cyrus,2,1
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",1,1
Somebody,Bridgit Mendler,Lemonade Mouth (Original Soundtrack),1,2
Rise,Selena Gomez,Revival (Deluxe),1,11
Greedy,Ariana Grande,Dangerous Woman,1,7
Sometimes,Ariana Grande,Dangerous Woman,1,10
How to Be a Heartbreaker,MARINA,How to Be a Heartbreaker,1,1
One Thing,One Direction,Up All Night,1,3
Why Try,Ariana Grande,My Everything (Deluxe),1,4
Bad Decisions,Ariana Grande,Dangerous Woman,1,12
Perfect Illusion,Lady Gaga,Perfect Illusion,1,1
Alejandro,Lady Gaga,The Fame Monster (Deluxe),1,2
Moonlight,Ariana Grande,Dangerous Woman,1,1
True Colors,"Zedd, Kesha",True Colors,1,1
Castaway,5 Seconds of Summer,Sounds Good Feels Good (Deluxe),1,10
Dangerously,Charlie Puth,Nine Track Mind,1,2
When We Were Young,Adele,25,1,4
Viva La Vida,Coldplay,Viva La Vida (Prospekt's March Edition),1,7
You Don't Own Me (feat. G-Eazy),"SAYGRACE, G-Eazy",Suicide Squad: The Album,1,7
Wreak Havoc,Skylar Grey,Suicide Squad: The Album,1,9
Without Me,Eminem,Suicide Squad: The Album,1,8
Slippin' Into Darkness,War,Suicide Squad: The Album,1,12
"I Started A Joke - ""Suicide Squad"" Trailer Mix",Francine Quinn,Superhero vs Sci-Fi (The Ultimate Film & Trailer Soundtrack),1,5
Sympathy For The Devil,The Rolling Stones,Beggars Banquet,1,1
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),1,9
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,1,7
Iron Man,Black Sabbath,Paranoid (Remastered),1,4
Brother Our Time Has Come,Steven Price,Suicide Squad: Original Motion Picture Score,1,6
Where Are Ü Now (with Justin Bieber) - Kaskade Remix,"Jack Ü, Skrillex, Diplo, Justin Bieber, Kaskade",Where Are Ü Now (with Justin Bieber) [Remixes],1,1
Magic - Radio Edit,"Vigel, Qubicon, Yoshi Breen",Magic,1,1
Soundwave,Trevor Guthrie,Soundwave,1,1
Perfect Strangers,"Jonas Blue, JP Cooper",Perfect Strangers,1,1
Alone,Marshmello,Alone,1,1
Pumped Up Kicks,Pumped Up Kicks,Pumped Up Kicks - Single,1,1
Hear Me Now,"Alok, Bruno Martini, Zeeba",Hear Me Now,1,1
Mercy - Acoustic Guitar,Shawn Mendes,Mercy (Acoustic Guitar),1,1
Mercy,Shawn Mendes,Illuminate (Deluxe),1,2
